Unnamed: 0,Chords,Notes_from_Degrees
2115,Ebdim13b,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
2116,Ebdimmaj13b,"['""D4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
2117,Ebdim13bb9,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
2118,Ebdimmaj13s911s,"['""C4""', '""D4""', '""D#4""', '""F#4""', '""A4""']"
2119,Ebdimb713b9,"['""C4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
2120,Ebdimmaj13,"['""C4""', '""D4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""']"
2121,Ebdimmaj1311s,"['""C4""', '""D4""', '""D#4""', '""F4""', '""F#4""', '""A4""']"
2122,Ebdim13,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""']"
2123,Ebdim11b913b,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
2124,Ebdim1113b,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
2125,Ebaug7,"['""C#4""', '""D#4""', '""G4""', '""B4""']"
2126,Ebaugmaj7,"['""D4""', '""D#4""', '""G4""', '""B4""']"
2127,Ebaug9,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""B4""']"
2128,Ebaugmaj9,"['""D4""', '""D#4""', '""F4""', '""G4""', '""B4""']"
2129,Ebaugmajs9,"['""D4""', '""D#4""', '""F#4""', '""G4""', '""B4""']"
2130,Ebaugb9,"['""C#4""', '""D#4""', '""E4""', '""G4""', '""B4""']"
2131,Ebaugb79,"['""C4""', '""D#4""', '""F4""', '""G4""', '""B4""']"
2132,Ebaugb7b9,"['""C4""', '""D#4""', '""E4""', '""G4""', '""B4""']"
2133,Ebaug7b9,"['""C#4""', '""D#4""', '""E4""', '""G4""', '""B4""']"
2134,Ebaug7sus2,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""A#4""', '""B4""']"
2135,Ebaugmaj7sus2,"['""D4""', '""D#4""', '""F4""', '""G4""', '""A#4""', '""B4""']"
2136,Ebaug7sus4,"['""C#4""', '""D#4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
2137,Ebaugmaj7sus4,"['""D4""', '""D#4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
2138,Ebaugadd9,"['""D#4""', '""F4""', '""G4""', '""B4""']"
2139,Ebaugadd11,"['""D#4""', '""G4""', '""G#4""', '""B4""']"
2140,Ebaugadd13,"['""C4""', '""D#4""', '""G4""', '""B4""']"
2141,Ebaug11s,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""B4""']"
2142,Ebaug11b9,"['""C#4""', '""D#4""', '""E4""', '""G4""', '""G#4""', '""B4""']"
2143,Ebaugmajs911s,"['""D4""', '""D#4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
2144,Ebaugb711b9,"['""C4""', '""D#4""', '""E4""', '""G4""', '""G#4""', '""B4""']"
2145,Ebaugmaj11,"['""D4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
2146,Ebaugmaj911s,"['""D4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""B4""']"
2147,Ebaug11,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
2148,Ebaugb11b9,"['""C#4""', '""D#4""', '""E4""', '""G4""', '""B4""']"
2149,Ebaug13b11b9b,"['""C#4""', '""D#4""', '""E4""', '""G4""', '""B4""']"
2150,Ebaug13b9,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""G4""', '""G#4""', '""B4""']"
2151,Ebaug1311s,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""B4""']"
2152,Ebaug13b,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
2153,Ebaugmaj13b,"['""D4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
2154,Ebaug13bb9,"['""C#4""', '""D#4""', '""E4""', '""G4""', '""G#4""', '""B4""']"
2155,Ebaugmaj13s911s,"['""C4""', '""D4""', '""D#4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
2156,Ebaugb713b9,"['""C4""', '""D#4""', '""E4""', '""G4""', '""G#4""', '""B4""']"
2157,Ebaugmaj13,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
2158,Ebaugmaj1311s,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""B4""']"
2159,Ebaug13,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
2160,Ebaug11b913b,"['""C#4""', '""D#4""', '""E4""', '""G4""', '""G#4""', '""B4""']"
2161,Ebaug1113b,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
2162,F7,"['""C4""', '""D#4""', '""F4""', '""A4""']"
2163,Fmaj7,"['""C4""', '""E4""', '""F4""', '""A4""']"
2164,F9,"['""C4""', '""D#4""', '""F4""', '""G4""', '""A4""']"
2165,Fmaj9,"['""C4""', '""E4""', '""F4""', '""G4""', '""A4""']"
2166,Fmajs9,"['""C4""', '""E4""', '""F4""', '""G#4""', '""A4""']"
2167,Fb9,"['""C4""', '""D#4""', '""F4""', '""F#4""', '""A4""']"
2168,Fb79,"['""C4""', '""D4""', '""F4""', '""G4""', '""A4""']"
2169,Fb7b9,"['""C4""', '""D4""', '""F4""', '""F#4""', '""A4""']"
2170,F7b9,"['""C4""', '""D#4""', '""F4""', '""F#4""', '""A4""']"
2171,F7sus2,"['""C4""', '""D#4""', '""F4""', '""G4""', '""A4""']"
2172,Fmaj7sus2,"['""C4""', '""E4""', '""F4""', '""G4""', '""A4""']"
2173,F7sus4,"['""C4""', '""D#4""', '""F4""', '""A4""', '""A#4""']"
2174,Fmaj7sus4,"['""C4""', '""E4""', '""F4""', '""A4""', '""A#4""']"
2175,Fadd9,"['""C4""', '""F4""', '""G4""', '""A4""']"
2176,Fadd11,"['""C4""', '""F4""', '""A4""', '""A#4""']"
2177,Fadd13,"['""C4""', '""D4""', '""F4""', '""A4""']"
2178,F11s,"['""C4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""B4""']"
2179,F11b9,"['""C4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
2180,Fmajs911s,"['""C4""', '""E4""', '""F4""', '""G#4""', '""A4""', '""B4""']"
2181,Fb711b9,"['""C4""', '""D4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
2182,Fmaj11,"['""C4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
2183,Fmaj911s,"['""C4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
2184,F11,"['""C4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
2185,Fb11b9,"['""C4""', '""D#4""', '""F4""', '""F#4""', '""A4""']"
2186,F13b11b9b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""']"
2187,F13b9,"['""C4""', '""D4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
2188,F1311s,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""B4""']"
2189,F13b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
2190,Fmaj13b,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
2191,F13bb9,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
2192,Fmaj13s911s,"['""C4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""A4""', '""B4""']"
2193,Fb713b9,"['""C4""', '""C#4""', '""D4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
2194,Fmaj13,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
2195,Fmaj1311s,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
2196,F13,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
2197,F11b913b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
2198,F1113b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
2199,Fmin7,"['""C4""', '""D#4""', '""F4""', '""G#4""']"
2200,Fminmaj7,"['""C4""', '""E4""', '""F4""', '""G#4""']"
2201,Fmin9,"['""C4""', '""D#4""', '""F4""', '""G4""', '""G#4""']"
2202,Fminmaj9,"['""C4""', '""E4""', '""F4""', '""G4""', '""G#4""']"
2203,Fminmajs9,"['""C4""', '""E4""', '""F4""', '""G#4""']"
2204,Fminb9,"['""C4""', '""D#4""', '""F4""', '""F#4""', '""G#4""']"
2205,Fminb79,"['""C4""', '""D4""', '""F4""', '""G4""', '""G#4""']"
2206,Fminb7b9,"['""C4""', '""D4""', '""F4""', '""F#4""', '""G#4""']"
2207,Fmin7b9,"['""C4""', '""D#4""', '""F4""', '""F#4""', '""G#4""']"
2208,Fmin7sus2,"['""C4""', '""D#4""', '""F4""', '""G4""', '""G#4""']"
2209,Fminmaj7sus2,"['""C4""', '""E4""', '""F4""', '""G4""', '""G#4""']"
2210,Fmin7sus4,"['""C4""', '""D#4""', '""F4""', '""G#4""', '""A#4""']"
2211,Fminmaj7sus4,"['""C4""', '""E4""', '""F4""', '""G#4""', '""A#4""']"
2212,Fminadd9,"['""C4""', '""F4""', '""G4""', '""G#4""']"
2213,Fminadd11,"['""C4""', '""F4""', '""G#4""', '""A#4""']"
2214,Fminadd13,"['""C4""', '""D4""', '""F4""', '""G#4""']"
2215,Fmin11s,"['""C4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
2216,Fmin11b9,"['""C4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
2217,Fminmajs911s,"['""C4""', '""E4""', '""F4""', '""G#4""', '""B4""']"
2218,Fminb711b9,"['""C4""', '""D4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
2219,Fminmaj11,"['""C4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
2220,Fminmaj911s,"['""C4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
2221,Fmin11,"['""C4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
2222,Fminb11b9,"['""C4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""']"
2223,Fmin13b11b9b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""']"
2224,Fmin13b9,"['""C4""', '""D4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
2225,Fmin1311s,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
2226,Fmin13b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
2227,Fminmaj13b,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
2228,Fmin13bb9,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
2229,Fminmaj13s911s,"['""C4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""B4""']"
2230,Fminb713b9,"['""C4""', '""C#4""', '""D4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
2231,Fminmaj13,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
2232,Fminmaj1311s,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
2233,Fmin13,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
2234,Fmin11b913b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
2235,Fmin1113b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
2236,Fdim7,"['""D#4""', '""F4""', '""G#4""', '""B4""']"
2237,Fdimmaj7,"['""E4""', '""F4""', '""G#4""', '""B4""']"
2238,Fdim9,"['""D#4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
2239,Fdimmaj9,"['""E4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
2240,Fdimmajs9,"['""E4""', '""F4""', '""G#4""', '""B4""']"
2241,Fdimb9,"['""D#4""', '""F4""', '""F#4""', '""G#4""', '""B4""']"
2242,Fdimb79,"['""D4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
2243,Fdimb7b9,"['""D4""', '""F4""', '""F#4""', '""G#4""', '""B4""']"
2244,Fdim7b9,"['""D#4""', '""F4""', '""F#4""', '""G#4""', '""B4""']"
2245,Fdim7sus2,"['""C4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
2246,Fdimmaj7sus2,"['""C4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
2247,Fdim7sus4,"['""C4""', '""D#4""', '""F4""', '""G#4""', '""A#4""', '""B4""']"
2248,Fdimmaj7sus4,"['""C4""', '""E4""', '""F4""', '""G#4""', '""A#4""', '""B4""']"
2249,Fdimadd9,"['""F4""', '""G4""', '""G#4""', '""B4""']"
2250,Fdimadd11,"['""F4""', '""G#4""', '""A#4""', '""B4""']"
2251,Fdimadd13,"['""D4""', '""F4""', '""G#4""', '""B4""']"
2252,Fdim11s,"['""D#4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
2253,Fdim11b9,"['""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
2254,Fdimmajs911s,"['""E4""', '""F4""', '""G#4""', '""B4""']"
2255,Fdimb711b9,"['""D4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
2256,Fdimmaj11,"['""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
2257,Fdimmaj911s,"['""E4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
2258,Fdim11,"['""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
2259,Fdimb11b9,"['""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
2260,Fdim13b11b9b,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
2261,Fdim13b9,"['""D4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
2262,Fdim1311s,"['""D4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
2263,Fdim13b,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
2264,Fdimmaj13b,"['""C#4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
2265,Fdim13bb9,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
2266,Fdimmaj13s911s,"['""D4""', '""E4""', '""F4""', '""G#4""', '""B4""']"
2267,Fdimb713b9,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
2268,Fdimmaj13,"['""D4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
2269,Fdimmaj1311s,"['""D4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
2270,Fdim13,"['""D4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
2271,Fdim11b913b,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
2272,Fdim1113b,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
2273,Faug7,"['""C#4""', '""D#4""', '""F4""', '""A4""']"
2274,Faugmaj7,"['""C#4""', '""E4""', '""F4""', '""A4""']"
2275,Faug9,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""']"
2276,Faugmaj9,"['""C#4""', '""E4""', '""F4""', '""G4""', '""A4""']"
2277,Faugmajs9,"['""C#4""', '""E4""', '""F4""', '""G#4""', '""A4""']"
2278,Faugb9,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""']"
2279,Faugb79,"['""C#4""', '""D4""', '""F4""', '""G4""', '""A4""']"
2280,Faugb7b9,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""A4""']"
2281,Faug7b9,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""']"
2282,Faug7sus2,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""']"
2283,Faugmaj7sus2,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G4""', '""A4""']"
2284,Faug7sus4,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""A4""', '""A#4""']"
2285,Faugmaj7sus4,"['""C4""', '""C#4""', '""E4""', '""F4""', '""A4""', '""A#4""']"
2286,Faugadd9,"['""C#4""', '""F4""', '""G4""', '""A4""']"
2287,Faugadd11,"['""C#4""', '""F4""', '""A4""', '""A#4""']"
2288,Faugadd13,"['""C#4""', '""D4""', '""F4""', '""A4""']"
2289,Faug11s,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""B4""']"
2290,Faug11b9,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
2291,Faugmajs911s,"['""C#4""', '""E4""', '""F4""', '""G#4""', '""A4""', '""B4""']"
2292,Faugb711b9,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
2293,Faugmaj11,"['""C#4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
2294,Faugmaj911s,"['""C#4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
2295,Faug11,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
2296,Faugb11b9,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""']"
2297,Faug13b11b9b,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""']"
2298,Faug13b9,"['""C#4""', '""D4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
2299,Faug1311s,"['""C#4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""B4""']"
2300,Faug13b,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
2301,Faugmaj13b,"['""C#4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
2302,Faug13bb9,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
2303,Faugmaj13s911s,"['""C#4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""A4""', '""B4""']"
2304,Faugb713b9,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
2305,Faugmaj13,"['""C#4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
2306,Faugmaj1311s,"['""C#4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
2307,Faug13,"['""C#4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
2308,Faug11b913b,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
2309,Faug1113b,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
2310,Gb7,"['""C#4""', '""E4""', '""F#4""', '""A#4""']"
2311,Gbmaj7,"['""C#4""', '""F4""', '""F#4""', '""A#4""']"
2312,Gbmaj9,"['""C#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
2313,Gbmajs9,"['""C#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
2314,Gbb9,"['""C#4""', '""E4""', '""F#4""', '""G4""', '""A#4""']"
2315,Gbb79,"['""C#4""', '""D#4""', '""F#4""', '""G#4""', '""A#4""']"
2316,Gbb7b9,"['""C#4""', '""D#4""', '""F#4""', '""G4""', '""A#4""']"
2317,Gb7sus2,"['""C#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""']"
2318,Gbmaj7sus2,"['""C#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
2319,Gb7sus4,"['""C#4""', '""E4""', '""F#4""', '""A#4""', '""B4""']"
2320,Gbmaj7sus4,"['""C#4""', '""F4""', '""F#4""', '""A#4""', '""B4""']"
2321,Gbadd9,"['""C#4""', '""F#4""', '""G#4""', '""A#4""']"
2322,Gbadd11,"['""C#4""', '""F#4""', '""A#4""', '""B4""']"
2323,Gbadd13,"['""C#4""', '""D#4""', '""F#4""', '""A#4""']"
2324,Gb11s,"['""C4""', '""C#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""']"
2325,Gbmajs911s,"['""C4""', '""C#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
2326,Gbb711b9,"['""C#4""', '""D#4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
2327,Gbmaj11,"['""C#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
2328,Gbmaj911s,"['""C4""', '""C#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
2329,Gb11,"['""C#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
2330,Gbb11b9,"['""C#4""', '""E4""', '""F#4""', '""G4""', '""A#4""']"
2331,Gb13b11b9b,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A#4""']"
2332,Gb13b9,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
2333,Gb1311s,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""']"
2334,Gb13b,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
2335,Gbmaj13b,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
2336,Gb13bb9,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
2337,Gbmaj13s911s,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
2338,Gbb713b9,"['""C#4""', '""D4""', '""D#4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
2339,Gbmaj13,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
2340,Gbmaj1311s,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
2341,Gb13,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
2342,Gb11b913b,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
2343,Gb1113b,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
2344,Gbmin7,"['""C#4""', '""E4""', '""F#4""', '""A4""']"
2345,Gbminmaj7,"['""C#4""', '""F4""', '""F#4""', '""A4""']"
2346,Gbmin9,"['""C#4""', '""E4""', '""F#4""', '""G#4""', '""A4""']"
2347,Gbminmaj9,"['""C#4""', '""F4""', '""F#4""', '""G#4""', '""A4""']"
2348,Gbminmajs9,"['""C#4""', '""F4""', '""F#4""', '""A4""']"
2349,Gbminb9,"['""C#4""', '""E4""', '""F#4""', '""G4""', '""A4""']"
2350,Gbminb79,"['""C#4""', '""D#4""', '""F#4""', '""G#4""', '""A4""']"
2351,Gbminb7b9,"['""C#4""', '""D#4""', '""F#4""', '""G4""', '""A4""']"
2352,Gbmin7b9,"['""C#4""', '""E4""', '""F#4""', '""G4""', '""A4""']"
2353,Gbmin7sus2,"['""C#4""', '""E4""', '""F#4""', '""G#4""', '""A4""']"
2354,Gbminmaj7sus2,"['""C#4""', '""F4""', '""F#4""', '""G#4""', '""A4""']"
2355,Gbmin7sus4,"['""C#4""', '""E4""', '""F#4""', '""A4""', '""B4""']"
2356,Gbminmaj7sus4,"['""C#4""', '""F4""', '""F#4""', '""A4""', '""B4""']"
2357,Gbminadd9,"['""C#4""', '""F#4""', '""G#4""', '""A4""']"
2358,Gbminadd11,"['""C#4""', '""F#4""', '""A4""', '""B4""']"
2359,Gbminadd13,"['""C#4""', '""D#4""', '""F#4""', '""A4""']"
2360,Gbmin11s,"['""C4""', '""C#4""', '""E4""', '""F#4""', '""G#4""', '""A4""']"
2361,Gbmin11b9,"['""C#4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
2362,Gbminmajs911s,"['""C4""', '""C#4""', '""F4""', '""F#4""', '""A4""']"
2363,Gbminb711b9,"['""C#4""', '""D#4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
2364,Gbminmaj11,"['""C#4""', '""F4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
2365,Gbminmaj911s,"['""C4""', '""C#4""', '""F4""', '""F#4""', '""G#4""', '""A4""']"
2366,Gbmin11,"['""C#4""', '""E4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
2367,Gbminb11b9,"['""C#4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""A#4""']"
2368,Gbmin13b11b9b,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""A#4""']"
2369,Gbmin13b9,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
2370,Gbmin1311s,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A4""']"
2371,Gbmin13b,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
2372,Gbminmaj13b,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
2373,Gbmin13bb9,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
2374,Gbminmaj13s911s,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""']"
2375,Gbminb713b9,"['""C#4""', '""D4""', '""D#4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
2376,Gbminmaj13,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
2377,Gbminmaj1311s,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""']"
2378,Gbmin13,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
2379,Gbmin11b913b,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
2380,Gbmin1113b,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
2381,Gbdim7,"['""C4""', '""E4""', '""F#4""', '""A4""']"
2382,Gbdimmaj7,"['""C4""', '""F4""', '""F#4""', '""A4""']"
2383,Gbdim9,"['""C4""', '""E4""', '""F#4""', '""G#4""', '""A4""']"
2384,Gbdimmaj9,"['""C4""', '""F4""', '""F#4""', '""G#4""', '""A4""']"
2385,Gbdimmajs9,"['""C4""', '""F4""', '""F#4""', '""A4""']"
2386,Gbdimb9,"['""C4""', '""E4""', '""F#4""', '""G4""', '""A4""']"
2387,Gbdimb79,"['""C4""', '""D#4""', '""F#4""', '""G#4""', '""A4""']"
2388,Gbdimb7b9,"['""C4""', '""D#4""', '""F#4""', '""G4""', '""A4""']"
