Unnamed: 0,Chords,Notes_from_Degrees
112,Caugmaj7,"['""C4""', '""E4""', '""G#4""', '""B4""']"
113,Caug9,"['""C4""', '""D4""', '""E4""', '""G#4""', '""A#4""']"
114,Caugmaj9,"['""C4""', '""D4""', '""E4""', '""G#4""', '""B4""']"
115,Caugmajs9,"['""C4""', '""D#4""', '""E4""', '""G#4""', '""B4""']"
116,Caugb9,"['""C4""', '""C#4""', '""E4""', '""G#4""', '""A#4""']"
117,Caugb79,"['""C4""', '""D4""', '""E4""', '""G#4""', '""A4""']"
118,Caugb7b9,"['""C4""', '""C#4""', '""E4""', '""G#4""', '""A4""']"
119,Caug7b9,"['""C4""', '""C#4""', '""E4""', '""G#4""', '""A#4""']"
120,Caug7sus2,"['""C4""', '""D4""', '""E4""', '""G4""', '""G#4""', '""A#4""']"
121,Caugmaj7sus2,"['""C4""', '""D4""', '""E4""', '""G4""', '""G#4""', '""B4""']"
122,Caug7sus4,"['""C4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
123,Caugmaj7sus4,"['""C4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
124,Caugadd9,"['""C4""', '""D4""', '""E4""', '""G#4""']"
125,Caugadd11,"['""C4""', '""E4""', '""F4""', '""G#4""']"
126,Caugadd13,"['""C4""', '""E4""', '""G#4""', '""A4""']"
127,Caug11s,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A#4""']"
128,Caug11b9,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G#4""', '""A#4""']"
129,Caugmajs911s,"['""C4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""B4""']"
130,Caugb711b9,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G#4""', '""A4""']"
131,Caugmaj11,"['""C4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""B4""']"
132,Caugmaj911s,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""B4""']"
133,Caug11,"['""C4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""A#4""']"
134,Caugb11b9,"['""C4""', '""C#4""', '""E4""', '""G#4""', '""A#4""']"
135,Caug13b11b9b,"['""C4""', '""C#4""', '""E4""', '""G#4""', '""A#4""']"
136,Caug13b9,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G#4""', '""A4""', '""A#4""']"
137,Caug1311s,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A4""', '""A#4""']"
138,Caug13b,"['""C4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""A#4""']"
139,Caugmaj13b,"['""C4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""B4""']"
140,Caug13bb9,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G#4""', '""A#4""']"
141,Caugmaj13s911s,"['""C4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
142,Caugb713b9,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G#4""', '""A4""']"
143,Caugmaj13,"['""C4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""A4""', '""B4""']"
144,Caugmaj1311s,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
145,Caug13,"['""C4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""A4""', '""A#4""']"
146,Caug11b913b,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G#4""', '""A#4""']"
147,Caug1113b,"['""C4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""A#4""']"
148,Cs7,"['""C#4""', '""F4""', '""G#4""', '""B4""']"
149,Csmaj7,"['""C4""', '""C#4""', '""F4""', '""G#4""']"
150,Cs9,"['""C#4""', '""D#4""', '""F4""', '""G#4""', '""B4""']"
151,Csmaj9,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G#4""']"
152,Csmajs9,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G#4""']"
153,Csb9,"['""C#4""', '""D4""', '""F4""', '""G#4""', '""B4""']"
154,Csb79,"['""C#4""', '""D#4""', '""F4""', '""G#4""', '""A#4""']"
155,Csb7b9,"['""C#4""', '""D4""', '""F4""', '""G#4""', '""A#4""']"
156,Cs7b9,"['""C#4""', '""D4""', '""F4""', '""G#4""', '""B4""']"
157,Cs7sus2,"['""C#4""', '""D#4""', '""F4""', '""G#4""', '""B4""']"
158,Csmaj7sus2,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G#4""']"
159,Cs7sus4,"['""C#4""', '""F4""', '""F#4""', '""G#4""', '""B4""']"
160,Csmaj7sus4,"['""C4""', '""C#4""', '""F4""', '""F#4""', '""G#4""']"
161,Csadd9,"['""C#4""', '""D#4""', '""F4""', '""G#4""']"
162,Csadd11,"['""C#4""', '""F4""', '""F#4""', '""G#4""']"
